Nivel,Probabilidad
1015,4.78072412034676e-07
1016,2.39036206017338e-07
1017,1.59357470678225e-07
1018,7.17108618052014e-07
1019,3.98393676695564e-07
1020,3.18714941356451e-07
1021,8.7646608873024e-07
1022,2.39036206017338e-07
1023,6.37429882712902e-07
1024,5.57751147373789e-07
1025,7.96787353391127e-08
1026,4.78072412034676e-07
1027,3.18714941356451e-07
1028,3.98393676695564e-07
1029,3.98393676695564e-07
1030,4.78072412034676e-07
1031,1.59357470678225e-07
1032,1.59357470678225e-07
1033,1.59357470678225e-07
1034,7.17108618052014e-07
1035,3.18714941356451e-07
1036,2.39036206017338e-07
1037,4.78072412034676e-07
1038,7.17108618052014e-07
1039,3.18714941356451e-07
1040,7.96787353391127e-08
1041,4.78072412034676e-07
1042,2.39036206017338e-07
1043,1.59357470678225e-07
1044,3.18714941356451e-07
1045,3.98393676695564e-07
1046,5.57751147373789e-07
1047,2.39036206017338e-07
1048,4.78072412034676e-07
1049,3.18714941356451e-07
1050,6.37429882712902e-07
1051,2.39036206017338e-07
1052,1.59357470678225e-07
1053,7.17108618052014e-07
1054,1.59357470678225e-07
1055,3.18714941356451e-07
1056,1.59357470678225e-07
1057,0
1058,4.78072412034676e-07
1059,3.98393676695564e-07
1060,3.18714941356451e-07
1061,4.78072412034676e-07
1062,7.96787353391127e-08
1063,1.59357470678225e-07
1064,3.18714941356451e-07
1065,2.39036206017338e-07
1066,3.18714941356451e-07
1067,1.59357470678225e-07
1068,5.57751147373789e-07
1069,3.18714941356451e-07
1070,2.39036206017338e-07
1071,3.98393676695564e-07
1072,1.59357470678225e-07
1073,2.39036206017338e-07
1074,2.39036206017338e-07
1075,1.59357470678225e-07
1076,4.78072412034676e-07
1077,2.39036206017338e-07
1078,4.78072412034676e-07
1079,4.78072412034676e-07
1080,1.59357470678225e-07
1081,5.57751147373789e-07
1082,4.78072412034676e-07
1083,3.98393676695564e-07
1084,0
1085,4.78072412034676e-07
1086,3.98393676695564e-07
1087,2.39036206017338e-07
1088,2.39036206017338e-07
1089,5.57751147373789e-07
1090,2.39036206017338e-07
1091,3.18714941356451e-07
1092,1.59357470678225e-07
1093,3.98393676695564e-07
1094,5.57751147373789e-07
1095,5.57751147373789e-07
1096,3.18714941356451e-07
1097,4.78072412034676e-07
1098,1.59357470678225e-07
1099,3.98393676695564e-07
1100,6.37429882712902e-07
1101,7.96787353391127e-08
1102,3.98393676695564e-07
1103,1.59357470678225e-07
1104,2.39036206017338e-07
1105,3.98393676695564e-07
1106,1.59357470678225e-07
1107,2.39036206017338e-07
1108,4.78072412034676e-07
1109,2.39036206017338e-07
1110,2.39036206017338e-07
1111,2.39036206017338e-07
1112,4.78072412034676e-07
1113,2.39036206017338e-07
1114,3.18714941356451e-07
1115,7.96787353391127e-08
1116,7.96787353391127e-08
1117,4.78072412034676e-07
1118,2.39036206017338e-07
1119,7.96787353391127e-08
1120,2.39036206017338e-07
1121,3.98393676695564e-07
1122,1.59357470678225e-07
1123,6.37429882712902e-07
1124,3.98393676695564e-07
1125,5.57751147373789e-07
1126,2.39036206017338e-07
1127,2.39036206017338e-07
1128,3.98393676695564e-07
1129,2.39036206017338e-07
1130,3.18714941356451e-07
1131,5.57751147373789e-07
1132,5.57751147373789e-07
1133,9.56144824069352e-07
1134,1.59357470678225e-07
1135,3.98393676695564e-07
1136,3.18714941356451e-07
1137,2.39036206017338e-07
1138,5.57751147373789e-07
1139,6.37429882712902e-07
1140,4.78072412034676e-07
1141,3.18714941356451e-07
1142,1.59357470678225e-07
1143,1.59357470678225e-07
1144,6.37429882712902e-07
1145,3.98393676695564e-07
1146,4.78072412034676e-07
1147,3.98393676695564e-07
1148,2.39036206017338e-07
1149,3.98393676695564e-07
1150,1.59357470678225e-07
1151,3.18714941356451e-07
1152,2.39036206017338e-07
1153,3.18714941356451e-07
1154,7.96787353391127e-08
1155,2.39036206017338e-07
1156,6.37429882712902e-07
1157,3.98393676695564e-07
1158,2.39036206017338e-07
